genres,original_title,overview,release_date,popularity,poster_path,runtime,directors,title_y
"Action, Crime",Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",2003-10-10,31.556,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,111,Quentin Tarantino,Kill Bill: Volume I
"Science Fiction, Thriller, Mystery",Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1995-12-29,29.184,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,129,Terry Gilliam,L'Armée des 12 singes
"Comedy, Fantasy, Science Fiction",Mars Attacks!,"A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.",1996-12-12,21.051,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/hll4O5vSAfnZDb6JbnP06GPtz7b.jpg,106,Tim Burton,Mars Attacks!
"Drama, Romance",Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",1995-01-27,22.325,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,101,Richard Linklater,Before Sunrise
"Drama, Romance",Before Sunset,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",2004-02-10,16.184,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/gycdE1ARByGQcK4fYR2mgpU6OO.jpg,80,Richard Linklater,Before Sunset
"Crime, Drama, Action",Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",1994-09-14,44.701,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,111,Luc Besson,Léon
Drama,Trois couleurs : Bleu,"Julie is haunted by her grief after living through a tragic auto wreck that claimed the life of her composer husband and young daughter. Her initial reaction is to withdraw from her relationships, lock herself in her apartment and suppress her pain. But avoiding human interactions on the bustling streets of Paris proves impossible, and she eventually meets up with Olivier, an old friend who harbors a secret love for her, and who could draw her back to reality.",1993-08-01,13.814,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,98,Krzysztof Kieslowski,"Trois couleurs: Bleu, Bleu"
"Comedy, Drama, Mystery",Trois couleurs : Blanc,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland.",1994-01-26,13.473,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/fdIet3NSa27gobMbaUml66oCQNT.jpg,92,Krzysztof Kieslowski,Trois couleurs: Blanc
"Drama, Mystery, Romance",Trois couleurs : Rouge,"Valentine, a student model in Geneva, struggles with a possessive boyfriend and a troubled family. When she runs over a dog, she discovers that its owner, a retired judge, is illegally wiretapping and eavesdropping on his neighbors' phone calls. Although Valentine is outraged, she develops a strange bond with the judge – and as the two become closer, she finds herself caught in the middle of events that could change her life.",1994-05-12,12.935,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,100,Krzysztof Kieslowski,Trois couleurs: Rouge
"Romance, Fantasy, Drama, Comedy",Groundhog Day,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",1993-02-11,21.795,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/qIwyDf5k0eNsrfQjd0HCkeraNGD.jpg,101,Harold Ramis,Un jour sans fin
"Thriller, Crime",Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",2004-12-09,21.3,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/pE5anFf7nf6ah7V3VRezQ1KSovi.jpg,125,Steven Soderbergh,Ocean's Twelve
"Crime, Thriller",The Interpreter,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.",2005-04-08,10.472,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/wTidq3J9fh8sEOAlD8WZFHVLSuB.jpg,128,Sydney Pollack,L'interprète
"Comedy, Romance",Le Fabuleux Destin d'Amélie Poulain,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",2001-04-25,26.104,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/oTKduWL2tpIKEmkAqF4mFEAWAsv.jpg,122,Jean-Pierre Jeunet,"Le fabuleux destin d'Amélie Poulain, Amélie des Abbesses, Amélie"
"Action, Drama, History, War",Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",1995-05-24,36.238,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg,178,Mel Gibson,Braveheart
"Drama, History, War",Hotel Rwanda,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",2004-03-04,16.464,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/p3pHw85UMZPegfMZBA6dZ06yarm.jpg,121,Terry George,Hôtel Rwanda
"Drama, Thriller",Syriana,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.",2005-11-23,12.082,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/mO3hWUTOxmLJxihvDU0YFkb0Mb5.jpg,128,Stephen Gaghan,Syriana
"Crime, Thriller",Ocean's Thirteen,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",2007-06-06,23.682,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/pBsZs4zYUiUTemqbikTZ76iQRaU.jpg,122,Steven Soderbergh,Ocean's 13
"Comedy, Drama, Fantasy",La Science des rêves,A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,2006-02-11,8.741,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/1qCq228LsNtUseCnNE7Naw6NBUz.jpg,105,Michel Gondry,La science des rêves
"Crime, Thriller",Swimming Pool,"A British crime novelist travels to her publisher's upmarket summer house in Southern France to seek solitude in order to work on her next book. However, the unexpected arrival of the publisher's daughter induces complications and a subsequent crime.",2003-05-21,15.225,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/bwBAUlEXhUKmegdguoFj9grF9t3.jpg,102,François Ozon,Swimming Pool
"Action, Adventure, Comedy, Family",Inspector Gadget,"John Brown is a bumbling but well-intentioned security guard who is badly injured in an explosion planned by an evil mastermind. He is taken to a laboratory, where Brenda, a leading robotics surgeon, replaces his damaged limbs with state-of-the-art gadgets and tools. Named ""Inspector Gadget"" by the press, John -- along with his niece, Penny, and her trusty dog, Brain -- uses his new powers to discover who was behind the explosion.",1999-07-23,13.321,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/eKpK8FaQDpkgp3HHm3YrIDqUjWh.jpg,78,David Kellogg,Inspecteur Gadget
Drama,Monsieur Ibrahim et les Fleurs du Coran,"Paris, 1960s. Momo, a resolute and independent Jewish teenager who lives with his father, a sullen and depressed man, in a working-class neighborhood, develops a close friendship with Monsieur Ibrahim, an elderly Muslim who owns a small grocery store.",2003-09-17,9.028,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/lS4hx9X5v6cpoCzzQohZs7zD881.jpg,91,François Dupeyron,"Monsieur Ibrahim et les fleurs du Coran, Momo"
"Comedy, Drama",Night on Earth,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,1991-12-12,10.648,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/ktejUHCo6c8DekpOtR3uSb6oDXr.jpg,128,Jim Jarmusch,"Une nuit sur Terre, Night on Earth"
Comedy,Crustacés et coquillages,Crustacés et coquillages is a fresh French comedy film with numerous surprise turnarounds and about the tolerance of a family of four. The family spend an idealistic summer vacation together where each of the family members gets involved in a new or old relationship.,2005-03-30,2.664,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/eQPrrzj76pQxmprQ3LpHhriZqlJ.jpg,93,"Olivier Ducastel, Jacques Martineau","Crustacés & coquillages, Crustacés et coquillages"
"Comedy, Drama, Romance",The Devil Wears Prada,"Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.",2006-06-29,51.847,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/8912AsVuS7Sj915apArUFbv6F9L.jpg,109,David Frankel,Le diable s'habille en Prada
"Comedy, Drama, Romance",Chocolat,"A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them, as they represent free-thinking and indulgence. When a group of Boat Gypsies float down the river, the prejudice of the Mayor leads to a crisis.",2000-12-22,16.126,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/jPNmQq23eNbKFVPZnY5Kxc63MvW.jpg,121,Lasse Hallström,Le chocolat
"Comedy, Romance",French Kiss,"After her fiancee admits to infidelity while on a business trip in France, a woman attempts to get her lover back and marry him by traveling to Paris despite her crippling fear of flying.  On the way she unwittingly smuggles something of value that has a charming crook chasing her across France as she chases after her future husband.",1995-05-05,9.441,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/q5hXdMfxSwhuOmWmkTJmm5qVijc.jpg,111,Lawrence Kasdan,French Kiss
"Drama, Crime",Things to Do in Denver When You're Dead,Five different criminals face imminent death after botching a job quite badly.,1995-12-01,9.604,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/oPp6Gbrasox66WyMvPS0k8OakQf.jpg,116,Gary Fleder,Dernières heures à Denver
